19,Rumah Sakit,5310012,1000259118,RS Umum Dr TC Hillers Maumere,Rumah Sakit Umum,"Jl. Wairklau, Kel. Kota Uneng, Kec. Alok, Kabupaten Sikka, Nusa Tenggara Timur",53,Nusa Tenggara Timur,5307,Kab. Sikka,530705,Alok,-8.6208,122.208,81261153944,info@rsudtchillers.id,www.rsudtchillers.id,Operasional,Aktif,RSUD dr. TC Hillers Maumere
23,Rumah Sakit,5311013,1000259039,RS Umum Daerah Ende,Rumah Sakit Umum,Jl. Prof Dr. WZ.Johanes Ende,53,Nusa Tenggara Timur,5308,Kab. Ende,530819,Ende Tengah,-8.854,121.654,0812 3941 4545,rsud.ende@gmail.com,www.rsudende.co.id,Operasional,Aktif,RSUD Ende
27,Rumah Sakit,5313015,1000258360,RS Umum Daerah Ruteng,Rumah Sakit Umum,"Jl. Dr. Soetomo No. 1 Ruteng, Kab. Manggarai",53,Nusa Tenggara Timur,5310,Kab. Manggarai,531012,Langke Rembong,-8.62617,120.48765,2138922317,rs_sim@yahoo.co.id,https://rsudruteng.manggaraikab.go.id/,Operasional,Aktif,RSUD Ruteng
39,Rumah Sakit,5315003,5315003,RS Umum Daerah Komodo,Rumah Sakit Umum,"Jalan Raya Labuan Bajo-Ruteng, Desa Golo Bilas, Kecamatan Komodo, Kabupaten Manggarai Barat, NTT",53,Nusa Tenggara Timur,5315,Kab. Manggarai Barat,531505,Komodo,-8.5412596,119.8962618,81337055250,rsudkomodo@yahoo.com,https://rsudkomodo.manggaraibaratkab.go.,Operasional,Aktif,RSUD Komodo
42,Rumah Sakit,5318002,1000260727,RS Umum Daerah Aeramo Kabupaten Nagekeo,Rumah Sakit Umum,"Desa Aeramo, Kecamatan Aesesa Kabupaten Nagekeo",53,Nusa Tenggara Timur,5316,Kab. Nagekeo,531601,Aesesa,-10.16791,123.62383,81337762086,rsdaeramo2017@gmail.com,https://rsudaeramo.nagekeokab.go.id/,Operasional,Aktif,RSUD Aeramo
47,Rumah Sakit,5319002,1000257914,RS Umum Daerah Borong,Rumah Sakit Umum,"Lehong, Desa Gurung Liwut, Kecamatan Borong",53,Nusa Tenggara Timur,5319,Kab. Manggarai Timur,,,-8.7512,120.60756,,rsudborong@gmail.com,,Operasional,Aktif,RSUD Borong
219,Puskesmas,53070200023,1000105458,BERU,Puskesmas Perawatan (Rawat Inap),"Kel. Beru, Kec. Alok Timur",53,Nusa Tenggara Timur,5307,Kab. Sikka,530715,Alok Timur,-8.63288,122.22246,,puskesmasberu@gmail.com,,Operasional,Aktif,Beru
220,Puskesmas,53070200009,1000105446,BOGANATAR,Puskesmas Non Perawatan,"Ds. Kringa, Kec. Talibura",53,Nusa Tenggara Timur,5307,Kab. Sikka,530708,Talibura,-8.489,122.62334,,boganatarpkm@gmail.com,,Operasional,Aktif,Boganatar
221,Puskesmas,53070200005,1000105496,BOLA,Puskesmas Perawatan (Rawat Inap),"Ds. Bola, Kec. Bola",53,Nusa Tenggara Timur,5307,Kab. Sikka,530711,Bola,-8.7333,122.29238,,pkmbolasehati@gmail.com,,Operasional,Aktif,Bola
224,Puskesmas,53070200012,1000105630,HEWOKLOANG,Puskesmas Non Perawatan,"Ds. Hewokloang, Kec. Hewokloang",53,Nusa Tenggara Timur,5307,Kab. Sikka,530718,Hewokloang,-8.70004,122.30504,,pkmhewokloang@gmail.com,,Operasional,Aktif,Hewokloang
